rq,variant,outcome,estimate_kind,or_or_irr,ci95_lo,ci95_hi,p_raw,deferred,deferred_reason,stratum,n_AI,n_ctrl,ai_rate,ctrl_rate,delta_vs_primary_log,primary_or_or_irr,primary_p_raw
RQ2,v4_lang_strat,sast,OR,2.693877551020408,1.584603628574553,4.579679188555059,9.466712711526542e-05,,,Python,529.0,261.0,0.166351606805293,0.06896551724137931,-0.14576699605561994,3.1166185640893813,2.7686213925104137e-29
RQ2,v4_lang_strat,sca,OR,4.113700564971752,2.6710837454374623,6.3354555495141875,2.035949890960092e-12,,,Python,529.0,261.0,0.33081285444234404,0.10727969348659004,0.20120634889368527,3.36395261225733,1.253259943463684e-58
RQ2,v4_lang_strat,secrets,OR,1.6570327552986512,0.4521290800079425,6.072950565542932,0.5613055831868774,,,Python,529.0,261.0,0.01890359168241966,0.011494252873563218,-0.12358015334070938,1.875,0.12107116596598616
RQ2,v4_lang_strat,fuzzing,OR,0.493862134088763,0.009772089109462123,24.958819424860113,1.0,,,Python,529.0,261.0,0.0,0.0,-1.5324833415526704,2.2864135625596944,0.2728074834823988
RQ2,v4_lang_strat,ci_hardening,OR,1.7466019417475729,0.5691792930658921,5.359679067880692,0.44902183087187914,,,Python,529.0,261.0,0.026465028355387523,0.01532567049808429,-0.4951594918742438,2.8657544378698225,1.5663976730241344e-06
RQ2,v4_lang_strat,sast,OR,2.1751901944209635,1.3329971253005461,3.5494843102818594,0.0016497000324646786,,,Go,242.0,169.0,0.30165289256198347,0.16568047337278108,-0.35963251410308217,3.1166185640893813,2.7686213925104137e-29
RQ2,v4_lang_strat,sca,OR,3.4888198757763975,2.2842704462058956,5.328556496377011,3.737506402226674e-09,,,Go,242.0,169.0,0.5661157024793388,0.27218934911242604,0.03644687926737289,3.36395261225733,1.253259943463684e-58
RQ2,v4_lang_strat,secrets,OR,2.1087866108786613,0.21748069589422347,20.447704344223723,0.6466781501298642,,,Go,242.0,169.0,0.012396694214876033,0.005917159763313609,0.11750405671748398,1.875,0.12107116596598616
RQ2,v4_lang_strat,fuzzing,OR,2.1055900621118013,0.08526153875275612,51.998938495825165,1.0,,,Go,242.0,169.0,0.004132231404958678,0.0,-0.0823887176201995,2.2864135625596944,0.2728074834823988
RQ2,v4_lang_strat,ci_hardening,OR,2.314648729446936,0.9043496507532326,5.924255885174468,0.09296266568782525,,,Go,242.0,169.0,0.07851239669421488,0.03550295857988166,-0.21357370531606645,2.8657544378698225,1.5663976730241344e-06
RQ2,v4_lang_strat,sast,OR,6.423499577345731,2.828742259363021,14.586463889945223,2.129666281172359e-07,,,C#,220.0,156.0,0.2318181818181818,0.04487179487179487,0.7232144541600338,3.1166185640893813,2.7686213925104137e-29
RQ2,v4_lang_strat,sca,OR,9.550375939849625,4.7647373062315,19.142646221685972,2.2244537900913465e-14,,,C#,220.0,156.0,0.39545454545454545,0.0641025641025641,1.0434638638605698,3.36395261225733,1.253259943463684e-58
RQ2,v4_lang_strat,secrets,OR,0.7097505668934241,0.014008105983606174,35.96102626544056,1.0,,,C#,220.0,156.0,0.0,0.0,-0.9714503443290667,1.875,0.12107116596598616
RQ2,v4_lang_strat,fuzzing,OR,0.7097505668934241,0.014008105983606174,35.96102626544056,1.0,,,C#,220.0,156.0,0.0,0.0,-1.1698261449228795,2.2864135625596944,0.2728074834823988
RQ2,v4_lang_strat,ci_hardening,OR,17.181384248210023,1.0048525016000593,293.77442382298204,0.0033643715550572503,,,C#,220.0,156.0,0.05,0.0,1.7909948419460697,2.8657544378698225,1.5663976730241344e-06
RQ2,v4_lang_strat,sast,OR,2.8517441860465116,0.9401329647888489,8.650313527168576,0.06687890296220661,,,JavaScript,190.0,113.0,0.09473684210526316,0.035398230088495575,-0.0888178183393995,3.1166185640893813,2.7686213925104137e-29
RQ2,v4_lang_strat,sca,OR,2.3159955257270695,1.1603604751189351,4.622559446139373,0.018483814491169256,,,JavaScript,190.0,113.0,0.21578947368421053,0.10619469026548672,-0.37327702747444325,3.36395261225733,1.253259943463684e-58
RQ2,v4_lang_strat,secrets,OR,4.237333333333333,0.21688093164405609,82.78733239326648,0.2961117303783358,,,JavaScript,190.0,113.0,0.015789473684210527,0.0,0.815325481143931,1.875,0.12107116596598616
RQ2,v4_lang_strat,fuzzing,OR,0.5958005249343832,0.0117410912674757,30.233839208406536,1.0,,,JavaScript,190.0,113.0,0.0,0.0,-1.3448338176614851,2.2864135625596944,0.2728074834823988
RQ2,v4_lang_strat,ci_hardening,OR,1.7967914438502675,0.18465746806592276,17.483503518747312,1.0,,,JavaScript,190.0,113.0,0.015789473684210527,0.008849557522123894,-0.4668291014924778,2.8657544378698225,1.5663976730241344e-06
