repo_full_name,agentic_intervention_rate,human_intervention_rate,n_agentic_prs,n_human_prs
github/choosealicense.com,0.0,0.0,1,1
github/docs,0.0,0.0,5,3
github/github-mcp-server,0.0,0.0,7,1
gitroomhq/postiz-app,0.0,0.0,2,1
gluesql/gluesql,0.018518518518518517,0.0,54,7
go-vikunja/vikunja,0.0,0.0,66,8
goat-sdk/goat,0.0,0.0,66,42
gofiber/fiber,0.23529411764705882,0.19230769230769232,51,26
golang-design/clipboard,0.0,0.0,9,3
goniszewski/grimoire,1.0,1.0,3,2
gptme/gptme,0.0,1.0,1,1
gridaco/grida,0.0,0.16666666666666666,23,12
gustavoguichard/string-ts,0.0,0.0,1,1
hackmdio/codimd,0.0,0.0,3,2
happi/theBeamBook,0.0,0.0,1,1
hasanharman/form-builder,0.0,0.0,4,1
herbie-fp/herbie,0.0,0.0,36,18
heyverse/hey,0.0,0.0,4,2
hotovo/aider-desk,0.25,0.0,4,2
huggingface/blog,0.0,0.0,2,2
huggingface/huggingface.js,0.0,0.0,4,2
huggingface/huggingface_hub,0.0,0.0,5,3
huggingface/smolagents,0.0,0.0,3,2
huggingface/tokenizers,0.0,0.0,3,1
hyperbrowserai/HyperAgent,0.0,0.0,4,3
hyperf/hyperf,0.0,0.0,2,2
hyperion-mc/hyperion,0.0,0.0,2,1
hyperlight-dev/hyperlight,0.0,0.0,11,5
ibelick/zola,0.6666666666666666,0.0,3,2
ikamensh/flynt,0.0,0.0,28,1
imfing/hextra,0.0,0.0,3,1
instantdb/instant,0.0,0.0,1,1
intellij-solidity/intellij-solidity,0.0,0.0,2,2
irsyadadl/intentui,0.0,0.0,3,1
jafioti/luminal,0.0,0.0,12,8
janbjorge/pgqueuer,0.0,0.0,26,15
jedisct1/dsvpn,0.0,0.0,2,1
jina-ai/node-DeepResearch,0.0,0.0,28,17
jina-ai/reader,0.0,0.0,5,4
jlowin/fastmcp,0.0,0.0,7,4
jnsahaj/tweakcn,0.0,0.0,4,2
joamag/boytacean,0.21428571428571427,0.0,14,2
johnlindquist/kit,0.0,0.0,3,1
jomjol/AI-on-the-edge-device,0.0,0.0,1,1
joshuafuller/ATAK-Maps,0.0,0.0,18,3
joshyattridge/smart-money-concepts,0.0,0.0,4,1
julep-ai/julep,0.14925373134328357,0.4444444444444444,67,54
kanisterio/kanister,0.0,0.0,7,2
katspaugh/wavesurfer.js,0.0,0.0,20,6
keepassxreboot/keepassxc,0.0,0.125,13,8
keephq/keep,0.0,0.0,14,5
kiwix/kiwix-android,0.0,0.0,1,1
kohya-ss/musubi-tuner,0.0,0.0,1,1
kohya-ss/sd-scripts,0.0,0.0,2,1
konvajs/konva,0.0,0.0,1,1
konvajs/react-konva,0.0,0.0,1,1
ktorio/ktor,0.0,0.0,2,2
kubetail-org/kubetail,0.0,0.0,4,3
labring/laf,0.0,0.0,1,1
langchain-ai/langgraph,0.0,0.0,8,6
langchain-ai/langsmith-sdk,0.0,0.0,6,5
langfuse/langfuse,0.0,0.0,36,11
laravel-workflow/laravel-workflow,0.0,0.0,3,2
latitude-dev/latitude-llm,0.0,0.0,2,1
leoafarias/fvm,0.0,0.0,11,5
leonardsellem/n8n-mcp-server,0.0625,0.08333333333333333,16,12
levigross/grequests,0.0,0.0,4,3
liam-hq/liam,0.03910614525139665,0.0,358,61
licensee/licensee,0.0,0.0,9,2
lightdash/lightdash,0.08333333333333333,0.0,12,9
lightvector/KataGo,0.0,0.0,1,1
lingodotdev/lingo.dev,0.0,0.0,61,23
liveblocks/liveblocks,0.0,0.0,16,2
livekit/agents,0.0,0.0,1,1
livepeer/go-livepeer,0.0,0.0,1,1
livestorejs/livestore,0.0,0.0,4,1
logancyang/obsidian-copilot,0.0,0.0,2,1
lollipopkit/flutter_server_box,0.0,0.0,4,3
lordmauve/pgzero,0.0,0.0,2,1
lostintangent/gistpad,0.0,0.0,14,2
lukemurraynz/awesome-azure-architecture,0.0,0.0,4,3
lumen-notes/lumen,0.0,0.0,6,3
lutzroeder/netron,0.0,0.0,4,2
lyqht/mini-qr,0.0,0.0,8,6
maplibre/maplibre-native,0.0,0.0,1,1
marimo-team/marimo,0.0,0.0,45,25
mark3labs/mcp-go,0.0,0.0,1,1
mastra-ai/mastra,0.2,0.6666666666666666,10,3
mattermost/mattermost,0.0,0.0,1,1
mautic/mautic,0.7142857142857143,0.5,7,2
mediar-ai/terminator,0.0,0.0,50,8
