lang_bucket,stars_bin,created_year,n_ai_in_bucket,n_candidates_returned
Jupyter Notebook,1000+,2020,2,98
Kotlin,500-999,2024,2,54
Kotlin,200-499,2020,2,98
Kotlin,200-499,2024,2,98
Kotlin,1000+,2017,2,85
Kotlin,1000+,2019,2,83
TypeSpec,1000+,2015,2,0
Unknown,100-199,2023,2,100
Unknown,100-199,2025,2,100
Unknown,1000+,2015,2,92
TypeScript,500-999,2016,2,99
C#,100-199,2016,2,100
C#,100-199,2017,2,100
Python,500-999,2014,2,99
Python,500-999,2017,2,100
Java,200-499,2020,2,100
Java,200-499,2022,2,99
Java,200-499,2013,2,99
Java,200-499,2015,2,100
Java,1000+,2013,2,99
Python,1000+,2010,2,98
Java,500-999,2017,2,100
Ruby,100-199,2016,2,98
Go,100-199,2024,2,98
Java,100-199,2015,2,99
Java,100-199,2016,2,100
HTML,200-499,2020,2,100
HTML,200-499,2022,2,100
Python,500-999,2011,2,99
Java,100-199,2024,2,100
Java,100-199,2025,2,100
Java,1000+,2010,2,68
Java,1000+,2011,2,98
Java,1000+,2012,2,98
Java,100-199,2011,2,99
Dart,200-499,2023,2,61
Rust,1000+,2025,2,96
Rust,100-199,2025,2,100
Rust,1000+,2015,2,94
Go,500-999,2023,2,99
Ruby,1000+,2008,2,95
HTML,1000+,2016,2,98
HTML,100-199,2016,2,99
HTML,100-199,2014,2,100
Rust,100-199,2020,2,100
Rust,100-199,2021,2,99
Ruby,1000+,2013,2,98
Ruby,200-499,2016,2,98
PHP,1000+,2013,2,98
PHP,1000+,2015,2,97
PHP,100-199,2024,2,98
PHP,500-999,2012,2,86
PHP,1000+,2020,2,56
PHP,1000+,2022,2,31
PowerShell,500-999,2020,2,23
PowerShell,200-499,2019,2,50
Shell,100-199,2025,2,100
TypeScript,100-199,2016,2,99
Swift,200-499,2016,2,98
Swift,200-499,2022,2,99
Swift,100-199,2020,2,100
Swift,100-199,2024,2,99
Shell,500-999,2017,2,99
Go,200-499,2014,2,98
Dart,500-999,2021,2,40
Go,500-999,2016,2,99
Elixir,1000+,2018,2,8
C++,200-499,2014,2,98
Rust,500-999,2018,2,98
Rust,500-999,2020,2,99
Rust,500-999,2022,2,98
Rust,200-499,2019,2,98
Shell,200-499,2015,2,99
Shell,200-499,2023,2,99
Shell,200-499,2025,2,99
Shell,100-199,2019,2,99
Shell,100-199,2020,2,98
Shell,100-199,2024,2,100
Java,1000+,2014,2,99
Python,100-199,2013,2,100
JavaScript,500-999,2021,2,99
JavaScript,500-999,2024,2,99
JavaScript,500-999,2012,2,99
JavaScript,500-999,2014,2,100
JavaScript,100-199,2016,2,99
JavaScript,100-199,2017,2,100
JavaScript,100-199,2018,2,100
JavaScript,100-199,2020,2,100
JavaScript,500-999,2018,2,99
JavaScript,1000+,2021,2,98
JavaScript,100-199,2023,2,100
JavaScript,1000+,2011,2,99
C#,500-999,2017,2,98
C,200-499,2024,2,98
C#,500-999,2022,2,99
CoffeeScript,200-499,2015,2,28
Dart,100-199,2019,2,99
Dart,100-199,2023,2,100
C++,500-999,2011,2,54
C++,500-999,2022,2,98
C++,500-999,2024,2,98
Swift,500-999,2024,2,24
Swift,500-999,2025,2,38
C++,100-199,2022,2,100
