covariate,type,pre_match_smd,post_match_smd,pre_match_n_ai,pre_match_n_control_pool,post_match_n_pairs,ai_pre_mean,ctrl_pre_mean,ai_post_mean,ctrl_post_mean,abs_post_smd_gt_0p1
lang_Haskell,binary,0.008366532735298688,0.0,2706,2657,1744,0.0018477457501847746,0.0015054572826496049,0.0017201834862385322,0.0017201834862385322,False
lang_Java,binary,-0.0033063809726035657,0.0,2706,2657,1744,0.031411677753141166,0.031990967256304105,0.03727064220183486,0.03727064220183486,False
lang_JavaScript,binary,-0.00500343398237821,0.0,2706,2657,1744,0.06910569105691057,0.07038012796386903,0.06479357798165138,0.06479357798165138,False
lang_JetBrains MPS,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Jsonnet,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Julia,binary,0.011842116048251427,0.0,2706,2657,1744,0.003695491500369549,0.0030109145652992097,0.0040137614678899085,0.0040137614678899085,False
lang_Jupyter Notebook,binary,-0.0019107686436879347,0.0,2706,2657,1744,0.010716925351071693,0.010914565299209636,0.013188073394495414,0.013188073394495414,False
lang_Kotlin,binary,-0.002387423116145464,0.0,2706,2657,1744,0.01662971175166297,0.016936394429808054,0.02408256880733945,0.02408256880733945,False
lang_Less,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Lua,binary,-0.0012252147883544061,0.0,2706,2657,1744,0.004434589800443459,0.004516371847948814,0.006880733944954129,0.006880733944954129,False
lang_Luau,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_MATLAB,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0011467889908256881,0.0011467889908256881,False
lang_MDX,binary,-0.0009348979779844535,0.0,2706,2657,1744,0.0025868440502586844,0.0026345502446368085,0.0034403669724770644,0.0034403669724770644,False
lang_MLIR,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Makefile,binary,-0.0006115771479653591,0.0,2706,2657,1744,0.0011086474501108647,0.0011290929619872036,0.0017201834862385322,0.0017201834862385322,False
lang_Markdown,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0,0.0,False
lang_Mathematica,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_Mojo,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_MoonBit,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Move,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Mustache,binary,0.015364190576590855,0.0,2706,2657,1744,0.0007390983000739098,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_Nextflow,binary,-0.00035296245741360397,0.0,2706,2657,1744,0.0003695491500369549,0.0003763643206624012,0.0005733944954128441,0.0005733944954128441,False
lang_Nim,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_Nushell,binary,0.02719138713261855,0.0,2706,2657,1744,0.0003695491500369549,0.0,0.0,0.0,False
lang_OCaml,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0011467889908256881,0.0011467889908256881,False
lang_Objective-C,binary,-0.0004992574461998932,0.0,2706,2657,1744,0.0007390983000739098,0.0007527286413248024,0.0011467889908256881,0.0011467889908256881,False
lang_PHP,binary,-0.002880272753896764,0.0,2706,2657,1744,0.02402069475240207,0.024463680843056078,0.033256880733944956,0.033256880733944956,False
